,m/z,intensity,S/N,log_intensity,mz_calibrated,mz_calibrated_Hline,tdb_index,C,H,N,O,S,theo,class,DBE,mz_E_ppm_BeforeCalibration,mz_E_ppm_AfterCalibration,isotope,track
3276,358.04635,59214637,139.9,7.772429071294142,358.0495981323038,,905,14,13,0,11,0,358.0496892,O11,8.0,-9.326079872968615,-0.2543437375769244,1C13,False
918,358.0382,21622049,49.7,7.334896847213412,358.04144798766885,,7281,13,12,1,11,0,358.0415832,N1O11,8.0,-9.44918176748076,-0.37764421086630073,,False
2062,482.12488,7954037,13.4,6.900587606873554,482.1305856063407,,17853,21,24,1,12,0,482.1303978,N1O12,10.0,-11.44462167327567,0.38953432827496953,,False
921,358.08989,7185644,15.1,6.8564656970510125,358.0931389050334,,7292,18,16,1,7,0,358.0932248,N1O7,11.0,-9.312658740779925,-0.2398676115914689,,False
3678,482.13295,21265023,39.4,7.3276658567781245,482.1386557808233,,2057,22,25,0,12,0,482.1385038,O12,10.0,-11.519096600369249,0.3152223314745984,1C13,False
2203,501.1069,4207277,6.1,6.624001106172271,501.11302047248626,,19916,35,17,0,4,0,501.113232,O4,27.0,-12.635866697661333,-0.42211520315054374,,False
3680,483.02799,4351650,6.4,6.638653958109873,483.0337151428359,,6566,22,12,1,12,0,483.0335328,N1O12,17.0,-11.474979734575944,0.3774951913626392,1N15,False
3681,483.10076,4194305,6.1,6.622660008151447,483.1064867179276,,6567,24,20,1,10,0,483.1063036,N1O10,15.0,-11.474907196822539,0.3790427205547696,1N15,False
3736,500.17917,4579501,6.8,6.660818158188809,500.1852699939474,,2191,23,31,0,12,0,500.1854538,O12,8.0,-12.56294030997191,-0.36747580569577637,1C13,False
3735,500.1429,8276632,14.1,6.9178536457966135,500.1489991937425,,2189,22,27,0,13,0,500.1490684,O13,9.0,-12.33312304211951,-0.13837126139197028,1C13,False
3734,500.1217,5490572,8.6,6.739617590989867,500.12779872603306,,2187,25,23,0,11,0,500.1279392,O11,14.0,-12.475207863849402,-0.28087606378429875,1C13,False
2196,500.11359,6318215,10.2,6.8005944002530345,500.11968854711495,,19809,24,22,1,11,0,500.1198332,N1O11,14.0,-12.483408146566855,-0.2892364498798345,,False
3679,482.16935,11768496,20.9,7.070720964063762,482.17505656785335,,2058,23,29,0,11,0,482.1748892,O11,9.0,-11.487947887907094,0.34711026455231936,1C13,False
3733,500.10648,14526083,26.3,7.162148521330196,500.1125783902595,,2186,21,23,0,14,0,500.112683,O14,10.0,-12.403204739416125,-0.20917234067376603,1C13,False
3279,358.09793,6251768,12.8,6.796002853194032,358.1011790477317,,911,19,17,0,7,0,358.10133079999997,O7,11.0,-9.496753313801667,-0.42376907096972044,1C13,False
3676,482.02377,15001069,27.2,7.1761222086729335,482.02947342036686,,2050,19,13,0,15,0,482.0293476,O15,13.0,-11.571079702411414,0.26102221262608927,1C13,False
720,338.01233,6257257,13.9,6.796383992821489,338.0152301694106,,6029,13,8,1,10,0,338.0153686,N1O10,10.0,-8.989532081199068,-0.4095393353724136,,False
721,338.02758,3282303,6.2,6.516178669695144,338.0304804284222,,6031,17,8,1,7,0,338.0306248,N1O7,14.0,-9.007467893772473,-0.4270961480930601,,False
2033,478.09331,16097916,29.3,7.206769656883905,478.09892864649555,,17429,21,20,1,12,0,478.0990978,N1O12,12.0,-12.105858443657866,-0.3538042744872583,,False
947,361.02822,5359411,10.7,6.7291170632924855,361.0315212154715,,7471,15,9,2,9,0,361.031353,N2O9,12.0,-8.677916679574402,0.46593036890602063,,False
3666,478.10135,20486792,37.9,7.311473958119436,478.10696881950236,,2026,22,21,0,12,0,478.1072038,O12,12.0,-12.243697550315785,-0.49148077200208606,1C13,False
3667,478.13778,18523837,34.1,7.267730950776185,478.14339960343307,,2029,23,25,0,11,0,478.1435892,O11,11.0,-12.149488419800846,-0.3965264226541859,1C13,False
3668,478.17417,13572849,24.4,7.132671017527977,478.17979038653704,,2031,24,29,0,10,0,478.1799746,O10,10.0,-12.13894413882946,-0.38523876517051375,1C13,False
2060,482.03093,6830071,11.2,6.834425218285917,482.0366335751558,,17836,22,12,1,12,0,482.0364978,N1O12,17.0,-11.550577654193448,0.28166986611432926,,False
3669,478.2105,4208293,6.1,6.624105969703977,478.2161211683839,,2032,25,33,0,9,0,478.21636,O9,9.0,-12.253867684460253,-0.49942167623861916,1C13,False
3670,479.09684,4792476,7.3,6.68055994667401,479.10248025353354,,2033,21,20,1,12,0,479.1024528,N1O12,12.0,-11.715239542590007,0.05730201004313978,1C13,False
3752,504.18963,8468733,14.6,6.927818440759536,504.19581866510345,,2221,26,31,0,10,0,504.1956246,O10,11.0,-11.889432806377696,0.3849004116715419,1C13,False
3751,504.15324,9001712,15.6,6.954325114044405,504.15942785883226,,2220,25,27,0,11,0,504.1592392,O11,12.0,-11.899414973608005,0.3742048495572139,1C13,False
3287,359.08362,4411932,8.4,6.644628810147946,359.0868865604488,,7730,15,17,0,10,0,359.086966,O10,7.0,-9.318077003167616,-0.22122649586859852,1O18,False
3746,504.04409,16145864,29.8,7.208061290009265,504.05027544064666,,2213,22,15,0,14,0,504.050083,O14,15.0,-11.889691524938167,0.3817887411905344,1C13,False
925,359.01976,3709630,6.7,6.569330595067437,359.02302542475996,,7335,17,11,0,7,1,359.0230968,O7S1,12.0,-9.294109570500435,-0.19880403430995752,,False
3281,358.13435,3714158,6.7,6.569860374651098,358.13759969416344,,915,20,21,0,6,0,358.1377162,O6,10.0,-9.399177600541995,-0.3253101566481834,1C13,False
3758,506.20482,4445807,6.6,6.647950605314312,506.21105336234245,,2234,26,33,0,10,0,506.2112746,O10,10.0,-12.750802528333296,-0.4370460886014266,1C13,False
2194,500.08247,5562485,8.7,6.7452688528562215,500.088567860578,,19802,29,14,3,6,0,500.0888082,N3O6,24.0,-12.674148863337948,-0.4805934827576332,,False
3731,500.07,18368621,33.9,7.26407655344405,500.07609758548426,,2184,20,19,0,15,0,500.0762976,O15,11.0,-12.593278326139448,-0.39996799822853646,1C13,False
3730,500.04894,9875809,17.2,6.994572682004308,500.0550371208997,,2183,23,15,0,13,0,500.0551684,O13,16.0,-12.455425708180105,-0.262529233939279,1C13,False
3715,494.09598,19030838,35.0,7.279457912341824,494.1019462217995,,2147,22,21,0,13,0,494.1021184,O13,12.0,-12.423342809933489,-0.34846683324934097,1C13,False
869,352.07535,3633743,6.8,6.560354208159481,352.07849283138813,,6904,14,14,3,8,0,352.0786374,N3O8,9.0,-9.337118617173207,-0.4106145516985317,,False
3695,488.07026,15314256,27.7,7.185095902680742,488.07609459598893,,2098,19,19,0,15,0,488.0762976,O15,10.0,-12.370197097554069,-0.4159267967722556,1C13,False
3697,488.10662,10193273,17.7,7.0083136558028825,488.11245538756094,,2101,20,23,0,14,0,488.112683,O14,9.0,-12.421312150135783,-0.4663112576033721,1C13,False
2143,493.0463,5343613,8.3,6.727834997736486,493.05224322882486,,19004,23,13,2,11,0,493.0524822,N2O11,18.0,-12.538624635712294,-0.48467695377127185,,False
3247,349.01529,7546516,16.5,6.877746497166474,349.0183793854957,,9918,12,9,0,12,0,349.0184416,O12,8.0,-9.029895341850587,-0.17825563616122814,2O18,False
2134,491.09267,5279116,8.2,6.722561205021684,491.0985705064048,,18808,26,19,0,10,0,491.0983696,O10,17.0,-11.605821466392454,0.4090960533578807,,False
2153,494.12423,6700367,10.9,6.826098591015714,494.1301968409774,,19145,22,24,1,12,0,494.1303978,N1O12,11.0,-12.482130278717833,-0.40669228912319977,,False
3248,349.05157,5082698,10.4,6.706094305880168,349.0546600170713,,9919,13,13,0,11,0,349.054827,O11,7.0,-9.330912361118324,-0.4783859605639368,2O18,False
841,349.10497,4104473,8.0,6.613257403140089,349.108060946769,,6725,21,17,0,5,0,349.1081466,O5,13.0,-9.09918611454573,-0.24534870306214906,,False
2128,491.02564,8745928,14.9,6.941805897736553,491.0315390422314,,18781,17,15,0,17,0,491.0314718,O17,10.0,-11.876631814722582,0.13694077714876354,,False
3709,490.17428,9615444,16.6,6.982969342895657,490.1801604550847,,2121,25,29,0,10,0,490.1799746,O10,11.0,-11.617365651497172,0.37915682885455193,1C13,False
3708,490.13781,13303342,23.8,7.12396075599227,490.1436896592581,,2119,24,25,0,11,0,490.1435892,O11,12.0,-11.790830538942632,0.20495883306851315,1C13,False
2125,490.12976,4822822,7.3,6.683301233341262,490.13563948360013,,18713,23,24,1,11,0,490.1354832,N1O11,12.0,-11.676771415667243,0.31885795963910235,,False
3707,490.10153,14350856,25.8,7.15687780664416,490.1074088676099,,2116,23,21,0,12,0,490.1072038,O12,13.0,-11.576650895891401,0.41841378438736815,1C13,False
2124,490.09331,14398975,25.9,7.158331577672487,490.09918868824974,,18705,22,20,1,12,0,490.0990978,N1O12,13.0,-11.809448387046872,0.18544871877202693,,False
3249,349.07266,3329641,6.0,6.5223974106463025,349.0757503842367,,833,16,14,1,8,0,349.0758444,N1O8,10.0,-9.122372834140428,-0.2693276111871068,1C13,False
3716,494.2051,4826774,7.3,6.68365696468762,494.2110686135769,,2150,25,33,0,10,0,494.2112746,O10,9.0,-12.4938468977787,-0.4167983081287359,1C13,False
3261,353.068,3533259,6.4,6.548175473876409,353.0711602445863,,10757,13,19,0,9,1,353.071322,O9S1,4.0,-9.408863855630795,-0.4581380691358304,1S34,False
3691,486.12745,10269288,17.9,7.0115403337248,486.1332423479517,,2087,21,25,0,13,0,486.1334184,O13,9.0,-12.277288032605675,-0.36214759493063076,1C13,False
786,343.09813,4585374,9.4,6.661374764108987,343.10111704958786,,6346,19,19,0,4,1,343.100953,O4S1,10.0,-8.22789903465537,0.47813795449258845,,False
3729,498.16396,8053685,13.6,6.905994639247435,498.17001558070547,,2176,23,29,0,12,0,498.1698038,O12,9.0,-11.730538373583535,0.425117507806726,1C13,False
3728,498.10638,5453325,8.5,6.736661380962198,498.112434313116,,2174,25,21,0,11,0,498.1122892,O11,15.0,-11.863188538290643,0.2913261108737972,1C13,False
3727,498.09116,21387139,39.8,7.330152692022862,498.09721397806993,,2173,21,21,0,14,0,498.097033,O14,11.0,-11.790875293184556,0.36333898403377285,1C13,False
3725,498.05472,23497578,43.9,7.371023099912446,498.06077317591894,,2171,20,17,0,15,0,498.0606476,O15,12.0,-11.901361869423079,0.25212977488319355,1C13,False
3724,498.03367,9119323,15.7,6.9599625983856965,498.03972271256134,,2170,23,13,0,13,0,498.0395184,O13,17.0,-11.742843256366791,0.4102336336262404,1C13,False
793,344.03804,12050459,28.0,7.081003589431278,344.0410432154759,,6393,16,10,1,8,0,344.0411894,N1O8,12.0,-9.15413647266001,-0.4249041353663387,,False
3224,344.04614,11252775,26.0,7.051259635209553,344.0491433549387,,777,17,11,0,8,0,344.0492954,O8,12.0,-9.171360157436222,-0.4419281287882681,1C13,False
3225,344.06142,3574333,6.8,6.553195010767711,344.0644236180311,,779,21,11,0,5,0,344.0645516,O5,16.0,-9.101780423047343,-0.37197080690926076,1C13,False
3227,344.08259,7496541,16.6,6.874860920574041,344.08559398255284,,783,18,15,0,7,0,344.0856808,O7,11.0,-8.982646394378518,-0.25231345558706153,1C13,False
3228,344.10372,28651645,69.7,7.4571495615185475,344.1067243464031,,787,15,19,0,9,0,344.10681,O9,6.0,-8.979769973125636,-0.2489157273517133,1C13,False
3229,344.11897,5476499,11.5,6.7385030127039345,344.1219746090127,,788,19,19,0,6,0,344.1220662,O6,10.0,-8.99738872954573,-0.26615842551352387,1C13,False
3230,344.14008,6904755,15.1,6.839148273206357,344.143084972548,,789,16,23,0,8,0,344.1431954,O8,5.0,-9.052627050759547,-0.3208764650189988,1C13,False
3231,345.03528,5100908,10.6,6.707647490664563,345.0383004045419,,6181,16,10,1,8,0,345.0382244,N1O8,12.0,-8.53354727613146,0.22027861426226938,1N15,False
3687,486.0335,9934070,17.2,6.997127215907506,486.0392903073115,,2081,22,13,0,13,0,486.0395184,O13,16.0,-12.382532226655872,-0.46928836009340313,1C13,False
3689,486.09103,17679420,32.3,7.2474680132261895,486.09682155686517,,2084,20,21,0,14,0,486.097033,O14,10.0,-12.349386218164954,-0.4349813318950206,1C13,False
2166,496.08275,4155446,6.0,6.618617643028431,496.08875981437797,,19356,24,18,1,11,0,496.0885332,N1O11,16.0,-11.657596604162375,0.4568022899696167,,False
2245,507.12327,4477004,6.7,6.650987482406038,507.129523764801,,20596,27,23,0,10,0,507.1296696,O10,16.0,-12.619257723683441,-0.287569842119318,,False
3344,372.08133,3823498,6.7,6.582460867353721,372.08483081992915,,4030,15,16,1,10,0,372.0846786,N1O10,8.0,-8.999564326694113,0.4091002341379114,2C13,False
3759,508.03851,17834500,33.1,7.251260938160785,508.04478411521495,,2239,21,15,0,15,0,508.0449976,O15,14.0,-12.769735024774166,-0.42020841863258046,1C13,False
3192,337.05191,6995409,15.8,6.844813111429756,337.0547938755773,,9892,12,13,0,11,0,337.054827,O11,6.0,-8.654378357168829,-0.09827606686101976,2O18,False
1040,369.06141,5236225,10.0,6.7190182998647705,369.06485584472136,,8024,16,17,0,8,1,369.0649614,O8S1,8.0,-9.622696195597449,-0.2860073149471339,,False
3151,327.06753,8435865,20.3,6.926129621064582,327.070246640063,,607,17,12,1,6,0,327.0703652,N1O6,12.0,-8.668471074460872,-0.36249061261671967,1C13,False
619,327.08802,6293301,14.6,6.798878503956743,327.09073697920746,,5406,15,19,0,6,1,327.0907822,O6S1,6.0,-8.444750357769292,-0.1382515037900403,,False
3797,522.16346,9328890,16.5,6.969829972197391,522.1700505689274,,2333,25,29,0,12,0,522.1698038000001,O12,11.0,-12.148921584349761,0.472583679788846,1C13,False
3796,522.12707,11539714,20.9,7.062195045408881,522.1336597480172,,2331,24,25,0,13,0,522.1334184000001,O13,12.0,-12.158578203146522,0.46223438029305713,1C13,False
3795,522.09059,17543434,32.9,7.244114607346964,522.0971789251053,,2329,23,21,0,14,0,522.097033,O14,13.0,-12.340617917264062,0.27949805499814984,1C13,False
2336,522.0614,4707088,7.2,6.672752317609161,522.067988266661,,22330,25,16,1,12,0,522.0677978,N1O12,18.0,-12.254730184289418,0.3648312763725917,,False
3323,369.06268,5568259,10.8,6.745719427689933,369.06612586777175,,10789,13,19,0,10,1,369.06623659999997,O10S1,4.0,-9.636752558924277,-0.30003348245140504,1S34,False
3794,522.05423,18794770,35.4,7.274037015426686,522.0608181049288,,2326,22,17,0,15,0,522.0606476,O15,14.0,-12.292824654721347,0.32659984913713574,1C13,False
1035,369.04026,7898979,16.2,6.897570959224358,369.04370546085966,,8015,19,13,0,6,1,369.0438322,O6S1,13.0,-9.679609001219875,-0.3434257106700117,,False
3631,468.04451,28401619,53.6,7.453343097185259,468.0499137292404,,1948,19,15,0,14,0,468.050083,O14,12.0,-11.906845447498515,-0.3616509551107995,1C13,False
3633,468.08088,30764046,58.3,7.488043452063095,468.08628450230105,,1950,20,19,0,13,0,468.0864684,O13,11.0,-11.93881980635764,-0.39287121367704897,1C13,False
1961,468.10924,12091964,21.6,7.082496845533184,468.11464510513014,,16405,20,22,1,12,0,468.1147478,N1O12,10.0,-11.76591856133635,-0.2193796933781633,,False
3634,468.11728,24170569,45.3,7.383286874265802,468.12268527603476,,1953,21,23,0,12,0,468.1228538,O12,10.0,-11.906703453449726,-0.35999943999042044,1C13,False
1962,468.14557,4604919,6.9,6.66322199540965,468.1509758774033,,16413,21,26,1,11,0,468.1511332,N1O11,9.0,-11.883341949759966,-0.3360508723258836,,False
3635,468.15372,16850052,31.0,7.226601245461257,468.1591260506541,,1956,22,27,0,11,0,468.1592392,O11,9.0,-11.789151079047269,-0.24168987052430327,1C13,False
3793,522.01782,7003162,11.8,6.845294172741296,522.024407283653,,2323,21,13,0,16,0,522.0242622000001,O16,15.0,-12.340805718278165,0.2779251146273947,1C13,False
1966,469.03914,7348762,12.3,6.866214182369382,469.04456488324087,,16478,19,17,0,12,1,469.0446198,O12S1,11.0,-11.682897039481185,-0.11708216411859254,,False
3324,369.06772,5363082,10.3,6.729414437253067,369.0711659592477,,7835,16,15,0,10,0,369.071316,O10,9.0,-9.743374367288732,-0.4065359344174199,1O18,False
2350,525.13338,10496045,19.0,7.021025683998982,525.1400376620778,,22705,27,25,0,11,0,525.1402342,O11,15.0,-13.05213265645583,-0.3742579779518906,,False
3340,371.08587,4519110,8.4,6.655052912654855,371.0893526621964,,4018,16,17,0,10,0,371.0894296,O10,8.0,-9.592296939995812,-0.2073295477465926,2C13,False
3810,528.10102,9552664,17.1,6.9801245023859515,528.1077448908866,,2362,22,23,0,15,0,528.1075976000001,O15,11.0,-12.455037628733137,0.2789031764964711,1C13,False
3337,371.04708,7290511,14.8,6.862757969566617,371.05056195536474,,7857,15,13,0,11,0,371.0505806,O11,9.0,-9.434293282427227,-0.05024823089376886,1O18,False
1059,371.04071,7695750,15.8,6.886250951001691,371.0441918392957,,8155,15,15,0,9,1,371.044226,O9S1,8.0,-9.475959342891182,-0.09206639500219528,,False
588,325.02097,3970941,8.4,6.598893434390806,325.0236528508723,,5276,10,13,0,10,1,325.0234906,O10S1,4.0,-7.755131776390125,0.49919737179435175,,False
589,325.02878,5255880,11.8,6.7206454410394025,325.03146297949723,,5278,12,9,2,9,0,325.031353,N2O9,9.0,-7.916159399062011,0.3383658105456316,,False
1055,370.9858,4856888,9.2,6.686358088743203,370.9892808388302,,8138,13,7,0,13,0,370.9892134,O13,10.0,-9.200806591428126,0.18178110789417048,,False
1044,369.10027,4531128,8.4,6.656206330753121,369.1037165500526,,8037,13,21,0,12,0,369.1038488,O12,3.0,-9.695916234935309,-0.35830010396406686,,False
3334,370.11893,37205862,84.4,7.570611370894985,370.1223950587243,,1045,17,21,0,9,0,370.12246,O9,7.0,-9.53738392426124,-0.17545888918946864,1C13,False
3332,370.08254,50418482,115.1,7.702589765796041,370.0860043968881,,1041,16,17,0,10,0,370.0860746,O10,8.0,-9.550751143077857,-0.18969401106920913,1C13,False
1053,370.07445,31001895,69.9,7.491388241024272,370.07791424975926,,8098,15,16,1,10,0,370.0779686,N1O10,8.0,-9.507726205149462,-0.14686159504471574,,False
3331,370.0613,5105172,9.7,6.708010378625187,370.06476401061167,,1039,19,13,0,8,0,370.0649454,O8,13.0,-9.85070335706038,-0.490155554006438,1C13,False
1052,370.05322,9852168,20.8,6.993531808856355,370.05668386367086,,8094,18,12,1,8,0,370.0568394,N1O8,13.0,-9.780659657201154,-0.4203038900674589,,False
3330,370.04616,57250558,131.0,7.757779723940134,370.0496237352814,,1036,15,13,0,11,0,370.0496892,O11,9.0,-9.537097592575616,-0.17690791402634798,1C13,False
1050,370.01693,5078485,9.7,6.7057341740417575,370.02039320373905,,8087,17,8,1,9,0,370.020454,N1O9,14.0,-9.523797838403627,-0.16430513575107514,,False
3328,370.00979,12060363,25.9,7.081360379655243,370.01325307390414,,1031,14,9,0,12,0,370.0133038,O12,10.0,-9.496415301615027,-0.13709262709601322,1C13,False
1054,370.11076,8001626,16.5,6.903178248376131,370.11422491012985,,8106,16,20,1,9,0,370.114354,N1O9,7.0,-9.710512335233899,-0.34878374412548935,,False
1967,469.04687,7504422,12.6,6.875317247961393,469.0522950477473,,16481,21,13,2,11,0,469.0524822,N2O11,16.0,-11.964972392109004,-0.3990006657992968,,False
634,329.06006,3365791,6.6,6.527087144805348,329.0628096984207,,5510,12,13,2,9,0,329.062653,N2O9,7.0,-7.879958349421979,0.4761963087625127,,False
3791,520.0746,18020521,33.8,7.25576734292241,520.0811434932978,,2317,23,19,0,14,0,520.0813830000001,O14,14.0,-13.042189591395704,-0.46051773846023103,1C13,False
3309,364.07206,26846584,61.3,7.42888903326348,364.07541573961197,,977,17,15,0,9,0,364.07551,O9,10.0,-9.476056216982654,-0.2589034017667021,1C13,False
2286,514.09245,7517824,12.8,6.876092154215845,514.0988592039002,,21399,24,20,1,12,0,514.0990978,N1O12,15.0,-12.930969979220407,-0.4641052683333901,,False
984,364.06398,34191724,78.6,7.533920999153149,364.0673355944259,,7690,16,14,1,9,0,364.067404,N1O9,10.0,-9.40485185538728,-0.1878926081984434,,False
3774,514.06416,8565378,14.9,6.93274653364032,514.0705685707156,,2275,24,17,0,13,0,514.0708184,O13,16.0,-12.952301048162493,-0.48598223324305495,1C13,False
3308,364.05674,5070594,9.8,6.705058838191625,364.0600954643355,,976,13,15,0,12,0,364.0602538,O12,6.0,-9.651699034242254,-0.43491609651811847,1C13,False
3653,474.03904,4757721,7.2,6.677398970758598,474.0445716184964,,6552,20,13,2,12,0,474.0444318,N2O12,15.0,-11.374039305789731,0.29494808295144725,1N15,False
3654,474.05527,17650418,32.5,7.246754994876468,474.0608019660348,,2000,18,17,0,15,0,474.0606476,O15,10.0,-11.343696270085289,0.3256250768198535,1C13,False
